"","Movies_Title","Released_Year","Certificate","Runtime","Genre","IMDB_Rating","Meta_score","Director","Star1","Star2","Star3","Star4","No_of_Votes","Gross","ID","IMDB_Rating_mod","Meta_score_mod"
"38","The Departed",2006,"A",151,"Crime",8.5,85,"Martin Scorsese","Leonardo DiCaprio","Matt Damon","Jack Nicholson","Mark Wahlberg",1189773,132384315,38,"8-8.5","B+"
"39","The Pianist",2002,"R",150,"Biography",8.5,85,"Roman Polanski","Adrien Brody","Thomas Kretschmann","Frank Finlay","Emilia Fox",729603,32572577,39,"8-8.5","B+"
"40","Gladiator",2000,"UA",155,"Action",8.5,67,"Ridley Scott","Russell Crowe","Joaquin Phoenix","Connie Nielsen","Oliver Reed",1341460,187705427,40,"8-8.5","B"
"41","American History X",1998,"R",119,"Drama",8.5,62,"Tony Kaye","Edward Norton","Edward Furlong","Beverly D'Angelo","Jennifer Lien",1034705,6719864,41,"8-8.5","B"
"42","The Usual Suspects",1995,"A",106,"Crime",8.5,77,"Bryan Singer","Kevin Spacey","Gabriel Byrne","Chazz Palminteri","Stephen Baldwin",991208,23341568,42,"8-8.5","B+"
"43","Léon",1994,"A",110,"Action",8.5,64,"Luc Besson","Jean Reno","Gary Oldman","Natalie Portman","Danny Aiello",1035236,19501238,43,"8-8.5","B"
"44","The Lion King",1994,"U",88,"Animation",8.5,88,"Roger Allers","Rob Minkoff","Matthew Broderick","Jeremy Irons","James Earl Jones",942045,422783777,44,"8-8.5","A"
"45","Terminator 2: Judgment Day",1991,"U",137,"Action",8.5,75,"James Cameron","Arnold Schwarzenegger","Linda Hamilton","Edward Furlong","Robert Patrick",995506,204843350,45,"8-8.5","B+"
"46","Nuovo Cinema Paradiso",1988,"U",155,"Drama",8.5,80,"Giuseppe Tornatore","Philippe Noiret","Enzo Cannavale","Antonella Attili","Isa Danieli",230763,11990401,46,"8-8.5","B+"
"47","Hotaru no haka",1988,"U",89,"Animation",8.5,94,"Isao Takahata","Tsutomu Tatsumi","Ayano Shiraishi","Akemi Yamaguchi","Yoshiko Shinohara",235231,23530892,47,"8-8.5","A"
"48","Back to the Future",1985,"U",116,"Adventure",8.5,87,"Robert Zemeckis","Michael J. Fox","Christopher Lloyd","Lea Thompson","Crispin Glover",1058081,210609762,48,"8-8.5","A"
"49","Once Upon a Time in the West",1968,"U",165,"Western",8.5,80,"Sergio Leone","Henry Fonda","Charles Bronson","Claudia Cardinale","Jason Robards",302844,5321508,49,"8-8.5","B+"
"50","Psycho",1960,"A",109,"Horror",8.5,97,"Alfred Hitchcock","Anthony Perkins","Janet Leigh","Vera Miles","John Gavin",604211,3.2e+07,50,"8-8.5","A"
"51","Casablanca",1942,"U",102,"Drama",8.5,100,"Michael Curtiz","Humphrey Bogart","Ingrid Bergman","Paul Henreid","Claude Rains",522093,1024560,51,"8-8.5","A"
"52","Modern Times",1936,"G",87,"Comedy",8.5,96,"Charles Chaplin","Charles Chaplin","Paulette Goddard","Henry Bergman","Tiny Sandford",217881,163245,52,"8-8.5","A"
"53","City Lights",1931,"G",87,"Comedy",8.5,99,"Charles Chaplin","Charles Chaplin","Virginia Cherrill","Florence Lee","Harry Myers",167839,19181,53,"8-8.5","A"
"54","Capharnaüm",2018,"A",126,"Drama",8.4,75,"Nadine Labaki","Zain Al Rafeea","Yordanos Shiferaw","Boluwatife Treasure Bankole","Kawsar Al Haddad",62635,1661096,54,"8-8.5","B+"
"55","Ayla: The Daughter of War",2017,"Not rated",125,"Biography",8.4,79,"Can Ulkay","Erdem Can","Çetin Tekindor","Ismail Hacioglu","Kyung-jin Lee",34112,23530892,55,"8-8.5","B+"
"56","Vikram Vedha",2017,"UA",147,"Action",8.4,79,"Gayatri","Pushkar","Madhavan","Vijay Sethupathi","Shraddha Srinath",28401,23530892,56,"8-8.5","B+"
"57","Kimi no na wa.",2016,"U",106,"Animation",8.4,79,"Makoto Shinkai","Ryûnosuke Kamiki","Mone Kamishiraishi","Ryô Narita","Aoi Yûki",194838,5017246,57,"8-8.5","B+"
"58","Dangal",2016,"U",161,"Action",8.4,79,"Nitesh Tiwari","Aamir Khan","Sakshi Tanwar","Fatima Sana Shaikh","Sanya Malhotra",156479,12391761,58,"8-8.5","B+"
"59","Spider-Man: Into the Spider-Verse",2018,"U",117,"Animation",8.4,87,"Bob Persichetti","Peter Ramsey","Rodney Rothman","Shameik Moore","Jake Johnson",375110,190241310,59,"8-8.5","A"
"60","Avengers: Endgame",2019,"UA",181,"Action",8.4,78,"Anthony Russo","Joe Russo","Robert Downey Jr.","Chris Evans","Mark Ruffalo",809955,858373000,60,"8-8.5","B+"
"61","Avengers: Infinity War",2018,"UA",149,"Action",8.4,68,"Anthony Russo","Joe Russo","Robert Downey Jr.","Chris Hemsworth","Mark Ruffalo",834477,678815482,61,"8-8.5","B"
"62","Coco",2017,"U",105,"Animation",8.4,81,"Lee Unkrich","Adrian Molina","Anthony Gonzalez","Gael García Bernal","Benjamin Bratt",384171,209726015,62,"8-8.5","B+"
"63","Django Unchained",2012,"A",165,"Drama",8.4,81,"Quentin Tarantino","Jamie Foxx","Christoph Waltz","Leonardo DiCaprio","Kerry Washington",1357682,162805434,63,"8-8.5","B+"
"64","The Dark Knight Rises",2012,"UA",164,"Action",8.4,78,"Christopher Nolan","Christian Bale","Tom Hardy","Anne Hathaway","Gary Oldman",1516346,448139099,64,"8-8.5","B+"
"65","3 Idiots",2009,"UA",170,"Comedy",8.4,67,"Rajkumar Hirani","Aamir Khan","Madhavan","Mona Singh","Sharman Joshi",344445,6532908,65,"8-8.5","B"
"66","Taare Zameen Par",2007,"U",165,"Drama",8.4,79,"Aamir Khan","Amole Gupte","Darsheel Safary","Aamir Khan","Tisca Chopra",168895,1223869,66,"8-8.5","B+"
"67","WALL·E",2008,"U",98,"Animation",8.4,95,"Andrew Stanton","Ben Burtt","Elissa Knight","Jeff Garlin","Fred Willard",999790,223808164,67,"8-8.5","A"
"68","The Lives of Others",2006,"A",137,"Drama",8.4,89,"Florian Henckel von Donnersmarck","Ulrich Mühe","Martina Gedeck","Sebastian Koch","Ulrich Tukur",358685,11286112,68,"8-8.5","A"
"69","Oldeuboi",2003,"A",101,"Action",8.4,77,"Chan-wook Park","Choi Min-sik","Yoo Ji-Tae","Kang Hye-jeong","Kim Byeong-Ok",515451,707481,69,"8-8.5","B+"
"70","Memento",2000,"UA",113,"Mystery",8.4,80,"Christopher Nolan","Guy Pearce","Carrie-Anne Moss","Joe Pantoliano","Mark Boone Junior",1125712,25544867,70,"8-8.5","B+"
"71","Mononoke-hime",1997,"U",134,"Animation",8.4,76,"Hayao Miyazaki","Yôji Matsuda","Yuriko Ishida","Yûko Tanaka","Billy Crudup",343171,2375308,71,"8-8.5","B+"
"72","Once Upon a Time in America",1984,"A",229,"Crime",8.4,79,"Sergio Leone","Robert De Niro","James Woods","Elizabeth McGovern","Treat Williams",311365,5321508,72,"8-8.5","B+"
"73","Raiders of the Lost Ark",1981,"A",115,"Action",8.4,85,"Steven Spielberg","Harrison Ford","Karen Allen","Paul Freeman","John Rhys-Davies",884112,248159971,73,"8-8.5","B+"
"74","The Shining",1980,"A",146,"Drama",8.4,66,"Stanley Kubrick","Jack Nicholson","Shelley Duvall","Danny Lloyd","Scatman Crothers",898237,44017374,74,"8-8.5","B"
"75","Apocalypse Now",1979,"R",147,"Drama",8.4,94,"Francis Ford Coppola","Martin Sheen","Marlon Brando","Robert Duvall","Frederic Forrest",606398,83471511,75,"8-8.5","A"
"76","Alien",1979,"R",117,"Horror",8.4,89,"Ridley Scott","Sigourney Weaver","Tom Skerritt","John Hurt","Veronica Cartwright",787806,78900000,76,"8-8.5","A"
"77","Anand",1971,"U",122,"Drama",8.4,79,"Hrishikesh Mukherjee","Rajesh Khanna","Amitabh Bachchan","Sumita Sanyal","Ramesh Deo",30273,23530892,77,"8-8.5","B+"
"78","Tengoku to jigoku",1963,"Not rated",143,"Crime",8.4,79,"Akira Kurosawa","Toshirô Mifune","Yutaka Sada","Tatsuya Nakadai","Kyôko Kagawa",34357,23530892,78,"8-8.5","B+"
"79","Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb",1964,"A",95,"Comedy",8.4,97,"Stanley Kubrick","Peter Sellers","George C. Scott","Sterling Hayden","Keenan Wynn",450474,275902,79,"8-8.5","A"
"80","Witness for the Prosecution",1957,"U",116,"Crime",8.4,79,"Billy Wilder","Tyrone Power","Marlene Dietrich","Charles Laughton","Elsa Lanchester",108862,8175000,80,"8-8.5","B+"
"81","Paths of Glory",1957,"A",88,"Drama",8.4,90,"Stanley Kubrick","Kirk Douglas","Ralph Meeker","Adolphe Menjou","George Macready",178092,23530892,81,"8-8.5","A"
"82","Rear Window",1954,"U",112,"Mystery",8.4,100,"Alfred Hitchcock","James Stewart","Grace Kelly","Wendell Corey","Thelma Ritter",444074,36764313,82,"8-8.5","A"
"83","Sunset Blvd.",1950,"Passed",110,"Drama",8.4,79,"Billy Wilder","William Holden","Gloria Swanson","Erich von Stroheim","Nancy Olson",201632,23530892,83,"8-8.5","B+"
"84","The Great Dictator",1940,"Passed",125,"Comedy",8.4,79,"Charles Chaplin","Charles Chaplin","Paulette Goddard","Jack Oakie","Reginald Gardiner",203150,288475,84,"8-8.5","B+"
"85","1917",2019,"R",119,"Drama",8.3,78,"Sam Mendes","Dean-Charles Chapman","George MacKay","Daniel Mays","Colin Firth",425844,159227644,85,"8-8.5","B+"
"86","Tumbbad",2018,"A",104,"Drama",8.3,79,"Rahi Anil Barve","Anand Gandhi","Adesh Prasad","Sohum Shah","Jyoti Malshe",27793,23530892,86,"8-8.5","B+"
"87","Andhadhun",2018,"UA",139,"Crime",8.3,79,"Sriram Raghavan","Ayushmann Khurrana","Tabu","Radhika Apte","Anil Dhawan",71875,1373943,87,"8-8.5","B+"
"88","Drishyam",2013,"U",160,"Crime",8.3,79,"Jeethu Joseph","Mohanlal","Meena","Asha Sharath","Ansiba",30722,23530892,88,"8-8.5","B+"
"89","Jagten",2012,"R",115,"Drama",8.3,77,"Thomas Vinterberg","Mads Mikkelsen","Thomas Bo Larsen","Annika Wedderkopp","Lasse Fogelstrøm",281623,687185,89,"8-8.5","B+"
"90","Jodaeiye Nader az Simin",2011,"PG-13",123,"Drama",8.3,95,"Asghar Farhadi","Payman Maadi","Leila Hatami","Sareh Bayat","Shahab Hosseini",220002,7098492,90,"8-8.5","A"
"91","Incendies",2010,"R",131,"Drama",8.3,80,"Denis Villeneuve","Lubna Azabal","Mélissa Désormeaux-Poulin","Maxim Gaudette","Mustafa Kamel",150023,6857096,91,"8-8.5","B+"
"92","Miracle in cell NO.7",2019,"TV-14",132,"Drama",8.3,79,"Mehmet Ada Öztekin","Aras Bulut Iynemli","Nisa Sofiya Aksongur","Deniz Baysal","Celile Toyon Uysal",33935,23530892,92,"8-8.5","B+"
"93","Babam ve Oglum",2005,"Not rated",112,"Drama",8.3,79,"Çagan Irmak","Çetin Tekindor","Fikret Kuskan","Hümeyra","Ege Tanman",78925,23530892,93,"8-8.5","B+"
"94","Inglourious Basterds",2009,"A",153,"Adventure",8.3,69,"Quentin Tarantino","Brad Pitt","Diane Kruger","Eli Roth","Mélanie Laurent",1267869,120540719,94,"8-8.5","B"
"95","Eternal Sunshine of the Spotless Mind",2004,"UA",108,"Drama",8.3,89,"Michel Gondry","Jim Carrey","Kate Winslet","Tom Wilkinson","Gerry Robert Byrne",911664,34400301,95,"8-8.5","A"
"96","Amélie",2001,"U",122,"Comedy",8.3,69,"Jean-Pierre Jeunet","Audrey Tautou","Mathieu Kassovitz","Rufus","Lorella Cravotta",703810,33225499,96,"8-8.5","B"
"97","Snatch",2000,"UA",104,"Comedy",8.3,55,"Guy Ritchie","Jason Statham","Brad Pitt","Benicio Del Toro","Dennis Farina",782001,30328156,97,"8-8.5","C"
"98","Requiem for a Dream",2000,"A",102,"Drama",8.3,68,"Darren Aronofsky","Ellen Burstyn","Jared Leto","Jennifer Connelly","Marlon Wayans",766870,3635482,98,"8-8.5","B"
"99","American Beauty",1999,"UA",122,"Drama",8.3,84,"Sam Mendes","Kevin Spacey","Annette Bening","Thora Birch","Wes Bentley",1069738,130096601,99,"8-8.5","B+"
"100","Good Will Hunting",1997,"U",126,"Drama",8.3,70,"Gus Van Sant","Robin Williams","Matt Damon","Ben Affleck","Stellan Skarsgård",861606,138433435,100,"8-8.5","B"
"101","Bacheha-Ye aseman",1997,"PG",89,"Drama",8.3,77,"Majid Majidi","Mohammad Amir Naji","Amir Farrokh Hashemian","Bahare Seddiqi","Nafise Jafar-Mohammadi",65341,933933,101,"8-8.5","B+"
"102","Toy Story",1995,"U",81,"Animation",8.3,95,"John Lasseter","Tom Hanks","Tim Allen","Don Rickles","Jim Varney",887429,191796233,102,"8-8.5","A"
"103","Braveheart",1995,"A",178,"Biography",8.3,68,"Mel Gibson","Mel Gibson","Sophie Marceau","Patrick McGoohan","Angus Macfadyen",959181,75600000,103,"8-8.5","B"
"104","Reservoir Dogs",1992,"R",99,"Crime",8.3,79,"Quentin Tarantino","Harvey Keitel","Tim Roth","Michael Madsen","Chris Penn",918562,2832029,104,"8-8.5","B+"
"105","Full Metal Jacket",1987,"UA",116,"Drama",8.3,76,"Stanley Kubrick","Matthew Modine","R. Lee Ermey","Vincent D'Onofrio","Adam Baldwin",675146,46357676,105,"8-8.5","B+"
"106","Idi i smotri",1985,"A",142,"Drama",8.3,79,"Elem Klimov","Aleksey Kravchenko","Olga Mironova","Liubomiras Laucevicius","Vladas Bagdonas",59056,23530892,106,"8-8.5","B+"
"107","Aliens",1986,"U",137,"Action",8.3,84,"James Cameron","Sigourney Weaver","Michael Biehn","Carrie Henn","Paul Reiser",652719,85160248,107,"8-8.5","B+"
"108","Amadeus",1984,"R",160,"Biography",8.3,88,"Milos Forman","F. Murray Abraham","Tom Hulce","Elizabeth Berridge","Roy Dotrice",369007,51973029,108,"8-8.5","A"
"109","Scarface",1983,"A",170,"Crime",8.3,65,"Brian De Palma","Al Pacino","Michelle Pfeiffer","Steven Bauer","Mary Elizabeth Mastrantonio",740911,45598982,109,"8-8.5","B"
"110","Star Wars: Episode VI - Return of the Jedi",1983,"U",131,"Action",8.3,58,"Richard Marquand","Mark Hamill","Harrison Ford","Carrie Fisher","Billy Dee Williams",950470,309125409,110,"8-8.5","B"
"111","Das Boot",1981,"R",149,"Adventure",8.3,86,"Wolfgang Petersen","Jürgen Prochnow","Herbert Grönemeyer","Klaus Wennemann","Hubertus Bengsch",231855,11487676,111,"8-8.5","A"
"112","Taxi Driver",1976,"A",114,"Crime",8.3,94,"Martin Scorsese","Robert De Niro","Jodie Foster","Cybill Shepherd","Albert Brooks",724636,28262574,112,"8-8.5","A"
"113","The Sting",1973,"U",129,"Comedy",8.3,83,"George Roy Hill","Paul Newman","Robert Redford","Robert Shaw","Charles Durning",241513,159600000,113,"8-8.5","B+"
"114","A Clockwork Orange",1971,"A",136,"Crime",8.3,77,"Stanley Kubrick","Malcolm McDowell","Patrick Magee","Michael Bates","Warren Clarke",757904,6207725,114,"8-8.5","B+"
"115","2001: A Space Odyssey",1968,"U",149,"Adventure",8.3,84,"Stanley Kubrick","Keir Dullea","Gary Lockwood","William Sylvester","Daniel Richter",603517,56954992,115,"8-8.5","B+"
"116","Per qualche dollaro in più",1965,"U",132,"Western",8.3,74,"Sergio Leone","Clint Eastwood","Lee Van Cleef","Gian Maria Volontè","Mara Krupp",232772,1.5e+07,116,"8-8.5","B+"
"117","Lawrence of Arabia",1962,"U",228,"Adventure",8.3,100,"David Lean","Peter O'Toole","Alec Guinness","Anthony Quinn","Jack Hawkins",268085,44824144,117,"8-8.5","A"
"118","The Apartment",1960,"U",125,"Comedy",8.3,94,"Billy Wilder","Jack Lemmon","Shirley MacLaine","Fred MacMurray","Ray Walston",164363,18600000,118,"8-8.5","A"
"119","North by Northwest",1959,"U",136,"Adventure",8.3,98,"Alfred Hitchcock","Cary Grant","Eva Marie Saint","James Mason","Jessie Royce Landis",299198,13275000,119,"8-8.5","A"
"120","Vertigo",1958,"A",128,"Mystery",8.3,100,"Alfred Hitchcock","James Stewart","Kim Novak","Barbara Bel Geddes","Tom Helmore",364368,3200000,120,"8-8.5","A"
"121","Singin' in the Rain",1952,"G",103,"Comedy",8.3,99,"Stanley Donen","Gene Kelly","Gene Kelly","Donald O'Connor","Debbie Reynolds",218957,8819028,121,"8-8.5","A"
"122","Ikiru",1952,"Not rated",143,"Drama",8.3,79,"Akira Kurosawa","Takashi Shimura","Nobuo Kaneko","Shin'ichi Himori","Haruo Tanaka",68463,55240,122,"8-8.5","B+"
"123","Ladri di biciclette",1948,"Not rated",89,"Drama",8.3,79,"Vittorio De Sica","Lamberto Maggiorani","Enzo Staiola","Lianella Carell","Elena Altieri",146427,332930,123,"8-8.5","B+"
"124","Double Indemnity",1944,"Passed",107,"Crime",8.3,95,"Billy Wilder","Fred MacMurray","Barbara Stanwyck","Edward G. Robinson","Byron Barr",143525,5720000,124,"8-8.5","A"
"125","Citizen Kane",1941,"UA",119,"Drama",8.3,100,"Orson Welles","Orson Welles","Joseph Cotten","Dorothy Comingore","Agnes Moorehead",403351,1585634,125,"8-8.5","A"
"126","M - Eine Stadt sucht einen Mörder",1931,"Passed",117,"Crime",8.3,79,"Fritz Lang","Peter Lorre","Ellen Widmann","Inge Landgut","Otto Wernicke",143434,28877,126,"8-8.5","B+"
"127","Metropolis",1927,"Not rated",153,"Drama",8.3,98,"Fritz Lang","Brigitte Helm","Alfred Abel","Gustav Fröhlich","Rudolf Klein-Rogge",159992,1236166,127,"8-8.5","A"
"128","The Kid",1921,"Passed",68,"Comedy",8.3,79,"Charles Chaplin","Charles Chaplin","Edna Purviance","Jackie Coogan","Carl Miller",113314,5450000,128,"8-8.5","B+"
"129","Chhichhore",2019,"UA",143,"Comedy",8.2,79,"Nitesh Tiwari","Sushant Singh Rajput","Shraddha Kapoor","Varun Sharma","Prateik",33893,898575,129,"8-8.5","B+"
"130","Uri: The Surgical Strike",2018,"UA",138,"Action",8.2,79,"Aditya Dhar","Vicky Kaushal","Paresh Rawal","Mohit Raina","Yami Gautam",43444,4186168,130,"8-8.5","B+"
"131","K.G.F: Chapter 1",2018,"UA",156,"Action",8.2,79,"Prashanth Neel","Yash","Srinidhi Shetty","Ramachandra Raju","Archana Jois",36680,23530892,131,"8-8.5","B+"
"132","Green Book",2018,"UA",130,"Biography",8.2,69,"Peter Farrelly","Viggo Mortensen","Mahershala Ali","Linda Cardellini","Sebastian Maniscalco",377884,85080171,132,"8-8.5","B"
"133","Three Billboards Outside Ebbing, Missouri",2017,"A",115,"Comedy",8.2,88,"Martin McDonagh","Frances McDormand","Woody Harrelson","Sam Rockwell","Caleb Landry Jones",432610,54513740,133,"8-8.5","A"
"134","Talvar",2015,"UA",132,"Crime",8.2,79,"Meghna Gulzar","Irrfan Khan","Konkona Sen Sharma","Neeraj Kabi","Sohum Shah",31142,342370,134,"8-8.5","B+"
"135","Baahubali 2: The Conclusion",2017,"UA",167,"Action",8.2,79,"S.S. Rajamouli","Prabhas","Rana Daggubati","Anushka Shetty","Tamannaah Bhatia",75348,20186659,135,"8-8.5","B+"
"136","Klaus",2019,"PG",96,"Animation",8.2,65,"Sergio Pablos","Carlos Martínez López","Jason Schwartzman","J.K. Simmons","Rashida Jones",104761,23530892,136,"8-8.5","B"
"137","Drishyam",2015,"UA",163,"Crime",8.2,79,"Nishikant Kamat","Ajay Devgn","Shriya Saran","Tabu","Rajat Kapoor",70367,739478,137,"8-8.5","B+"
"138","Queen",2013,"UA",146,"Adventure",8.2,79,"Vikas Bahl","Kangana Ranaut","Rajkummar Rao","Lisa Haydon","Jeffrey Ho",60701,1429534,138,"8-8.5","B+"
"139","Mandariinid",2013,"Not rated",87,"Drama",8.2,73,"Zaza Urushadze","Lembit Ulfsak","Elmo Nüganen","Giorgi Nakashidze","Misha Meskhi",40382,144501,139,"8-8.5","B+"
"140","Bhaag Milkha Bhaag",2013,"U",186,"Biography",8.2,79,"Rakeysh Omprakash Mehra","Farhan Akhtar","Sonam Kapoor","Pawan Malhotra","Art Malik",61137,1626289,140,"8-8.5","B+"
"141","Gangs of Wasseypur",2012,"A",321,"Action",8.2,89,"Anurag Kashyap","Manoj Bajpayee","Richa Chadha","Nawazuddin Siddiqui","Tigmanshu Dhulia",82365,23530892,141,"8-8.5","A"
"142","Udaan",2010,"UA",134,"Drama",8.2,79,"Vikramaditya Motwane","Rajat Barmecha","Ronit Roy","Manjot Singh","Ram Kapoor",42341,7461,142,"8-8.5","B+"
"143","Paan Singh Tomar",2012,"UA",135,"Action",8.2,79,"Tigmanshu Dhulia","Irrfan Khan","Mahie Gill","Rajesh Abhay","Hemendra Dandotiya",33237,39567,143,"8-8.5","B+"
"144","El secreto de sus ojos",2009,"R",129,"Drama",8.2,80,"Juan José Campanella","Ricardo Darín","Soledad Villamil","Pablo Rago","Carla Quevedo",193217,6391436,144,"8-8.5","B+"
"145","Warrior",2011,"UA",140,"Action",8.2,71,"Gavin O'Connor","Tom Hardy","Nick Nolte","Joel Edgerton","Jennifer Morrison",435950,13657115,145,"8-8.5","B"
"146","Shutter Island",2010,"A",138,"Mystery",8.2,63,"Martin Scorsese","Leonardo DiCaprio","Emily Mortimer","Mark Ruffalo","Ben Kingsley",1129894,128012934,146,"8-8.5","B"
"147","Up",2009,"U",96,"Animation",8.2,88,"Pete Docter","Bob Peterson","Edward Asner","Jordan Nagai","John Ratzenberger",935507,293004164,147,"8-8.5","A"
"148","The Wolf of Wall Street",2013,"A",180,"Biography",8.2,75,"Martin Scorsese","Leonardo DiCaprio","Jonah Hill","Margot Robbie","Matthew McConaughey",1187498,116900694,148,"8-8.5","B+"
"149","Chak De! India",2007,"U",153,"Drama",8.2,68,"Shimit Amin","Shah Rukh Khan","Vidya Malvade","Sagarika Ghatge","Shilpa Shukla",74129,1113541,149,"8-8.5","B"
"150","There Will Be Blood",2007,"A",158,"Drama",8.2,93,"Paul Thomas Anderson","Daniel Day-Lewis","Paul Dano","Ciarán Hinds","Martin Stringer",517359,40222514,150,"8-8.5","A"
"151","Pan's Labyrinth",2006,"UA",118,"Drama",8.2,98,"Guillermo del Toro","Ivana Baquero","Ariadna Gil","Sergi López","Maribel Verdú",618623,37634615,151,"8-8.5","A"
"152","Toy Story 3",2010,"U",103,"Animation",8.2,92,"Lee Unkrich","Tom Hanks","Tim Allen","Joan Cusack","Ned Beatty",757032,415004880,152,"8-8.5","A"
"153","V for Vendetta",2005,"A",132,"Action",8.2,62,"James McTeigue","Hugo Weaving","Natalie Portman","Rupert Graves","Stephen Rea",1032749,70511035,153,"8-8.5","B"
"154","Rang De Basanti",2006,"UA",167,"Comedy",8.2,79,"Rakeysh Omprakash Mehra","Aamir Khan","Soha Ali Khan","Siddharth","Sharman Joshi",111937,2197331,154,"8-8.5","B+"
"155","Black",2005,"U",122,"Drama",8.2,79,"Sanjay Leela Bhansali","Amitabh Bachchan","Rani Mukerji","Shernaz Patel","Ayesha Kapoor",33354,733094,155,"8-8.5","B+"
"156","Batman Begins",2005,"UA",140,"Action",8.2,70,"Christopher Nolan","Christian Bale","Michael Caine","Ken Watanabe","Liam Neeson",1308302,206852432,156,"8-8.5","B"
"157","Swades: We, the People",2004,"U",210,"Drama",8.2,79,"Ashutosh Gowariker","Shah Rukh Khan","Gayatri Joshi","Kishori Ballal","Smit Sheth",83005,1223240,157,"8-8.5","B+"
"158","Der Untergang",2004,"R",156,"Biography",8.2,82,"Oliver Hirschbiegel","Bruno Ganz","Alexandra Maria Lara","Ulrich Matthes","Juliane Köhler",331308,5509040,158,"8-8.5","B+"
"159","Hauru no ugoku shiro",2004,"U",119,"Animation",8.2,80,"Hayao Miyazaki","Chieko Baishô","Takuya Kimura","Tatsuya Gashûin","Akihiro Miwa",333915,4711096,159,"8-8.5","B+"
"160","A Beautiful Mind",2001,"UA",135,"Biography",8.2,72,"Ron Howard","Russell Crowe","Ed Harris","Jennifer Connelly","Christopher Plummer",848920,170742341,160,"8-8.5","B+"
"161","Hera Pheri",2000,"U",156,"Action",8.2,79,"Priyadarshan","Akshay Kumar","Sunil Shetty","Paresh Rawal","Tabu",57057,23530892,161,"8-8.5","B+"
"162","Lock, Stock and Two Smoking Barrels",1998,"A",107,"Action",8.2,66,"Guy Ritchie","Jason Flemyng","Dexter Fletcher","Nick Moran","Jason Statham",535216,3897569,162,"8-8.5","B"
"163","L.A. Confidential",1997,"A",138,"Crime",8.2,90,"Curtis Hanson","Kevin Spacey","Russell Crowe","Guy Pearce","Kim Basinger",531967,64616940,163,"8-8.5","A"
"164","Eskiya",1996,"Not rated",128,"Crime",8.2,79,"Yavuz Turgul","Sener Sen","Ugur Yücel","Sermin Hürmeriç","Yesim Salkim",64118,23530892,164,"8-8.5","B+"
"165","Heat",1995,"A",170,"Crime",8.2,76,"Michael Mann","Al Pacino","Robert De Niro","Val Kilmer","Jon Voight",577113,67436818,165,"8-8.5","B+"
"166","Casino",1995,"A",178,"Crime",8.2,73,"Martin Scorsese","Robert De Niro","Sharon Stone","Joe Pesci","James Woods",466276,42438300,166,"8-8.5","B+"
"167","Andaz Apna Apna",1994,"U",160,"Action",8.2,79,"Rajkumar Santoshi","Aamir Khan","Salman Khan","Raveena Tandon","Karisma Kapoor",49300,23530892,167,"8-8.5","B+"
"168","Unforgiven",1992,"A",130,"Drama",8.2,85,"Clint Eastwood","Clint Eastwood","Gene Hackman","Morgan Freeman","Richard Harris",375935,101157447,168,"8-8.5","B+"
"169","Indiana Jones and the Last Crusade",1989,"U",127,"Action",8.2,65,"Steven Spielberg","Harrison Ford","Sean Connery","Alison Doody","Denholm Elliott",692366,197171806,169,"8-8.5","B"
"170","Dom za vesanje",1988,"R",142,"Comedy",8.2,79,"Emir Kusturica","Davor Dujmovic","Bora Todorovic","Ljubica Adzovic","Husnija Hasimovic",26402,280015,170,"8-8.5","B+"
"171","Tonari no Totoro",1988,"U",86,"Animation",8.2,86,"Hayao Miyazaki","Hitoshi Takagi","Noriko Hidaka","Chika Sakamoto","Shigesato Itoi",291180,1105564,171,"8-8.5","A"
"172","Die Hard",1988,"A",132,"Action",8.2,72,"John McTiernan","Bruce Willis","Alan Rickman","Bonnie Bedelia","Reginald VelJohnson",793164,83008852,172,"8-8.5","B+"
"173","Ran",1985,"U",162,"Action",8.2,96,"Akira Kurosawa","Tatsuya Nakadai","Akira Terao","Jinpachi Nezu","Daisuke Ryû",112505,4135750,173,"8-8.5","A"
"174","Raging Bull",1980,"A",129,"Biography",8.2,89,"Martin Scorsese","Robert De Niro","Cathy Moriarty","Joe Pesci","Frank Vincent",321860,23383987,174,"8-8.5","A"
"175","Stalker",1979,"U",162,"Drama",8.2,79,"Andrei Tarkovsky","Alisa Freyndlikh","Aleksandr Kaydanovskiy","Anatoliy Solonitsyn","Nikolay Grinko",116945,234723,175,"8-8.5","B+"
"176","Höstsonaten",1978,"U",99,"Drama",8.2,79,"Ingmar Bergman","Ingrid Bergman","Liv Ullmann","Lena Nyman","Halvar Björk",26875,23530892,176,"8-8.5","B+"
"177","The Message",1976,"PG",177,"Biography",8.2,79,"Moustapha Akkad","Anthony Quinn","Irene Papas","Michael Ansara","Johnny Sekka",43885,23530892,177,"8-8.5","B+"
"178","Sholay",1975,"U",204,"Action",8.2,79,"Ramesh Sippy","Sanjeev Kumar","Dharmendra","Amitabh Bachchan","Amjad Khan",51284,23530892,178,"8-8.5","B+"
"179","Monty Python and the Holy Grail",1975,"PG",91,"Adventure",8.2,91,"Terry Gilliam","Terry Jones","Graham Chapman","John Cleese","Eric Idle",500875,1229197,179,"8-8.5","A"
