"","Movies_Title","Released_Year","Certificate","Runtime","Genre","IMDB_Rating","Meta_score","Director","Star1","Star2","Star3","Star4","No_of_Votes","Gross","ID","IMDB_Rating_mod","Meta_score_mod"
"935","Mysterious Skin",2004,"R",105,"Drama",7.6,73,"Gregg Araki","Brady Corbet","Joseph Gordon-Levitt","Elisabeth Shue","Chase Ellison",65939,697181,935,"7.5-8","B+"
"936","Jeux d'enfants",2003,"R",93,"Comedy",7.6,45,"Yann Samuell","Guillaume Canet","Marion Cotillard","Thibault Verhaeghe","Joséphine Lebas-Joly",67360,548707,936,"7.5-8","C"
"937","Un long dimanche de fiançailles",2004,"U",133,"Drama",7.6,76,"Jean-Pierre Jeunet","Audrey Tautou","Gaspard Ulliel","Jodie Foster","Dominique Pinon",70925,6167817,937,"7.5-8","B+"
"938","The Station Agent",2003,"R",89,"Comedy",7.6,81,"Tom McCarthy","Peter Dinklage","Patricia Clarkson","Bobby Cannavale","Paul Benjamin",67370,5739376,938,"7.5-8","B+"
"939","21 Grams",2003,"UA",124,"Crime",7.6,70,"Alejandro G. Iñárritu","Sean Penn","Benicio Del Toro","Naomi Watts","Danny Huston",224545,16290476,939,"7.5-8","B"
"940","Boksuneun naui geot",2002,"R",129,"Crime",7.6,56,"Chan-wook Park","Kang-ho Song","Shin Ha-kyun","Bae Doona","Ji-Eun Lim",62659,45289,940,"7.5-8","C"
"941","Finding Neverland",2004,"U",106,"Biography",7.6,67,"Marc Forster","Johnny Depp","Kate Winslet","Julie Christie","Radha Mitchell",198677,51680613,941,"7.5-8","B"
"942","25th Hour",2002,"R",135,"Drama",7.6,68,"Spike Lee","Edward Norton","Barry Pepper","Philip Seymour Hoffman","Rosario Dawson",169708,13060843,942,"7.5-8","B"
"943","The Butterfly Effect",2004,"U",113,"Drama",7.6,30,"Eric Bress","J. Mackye Gruber","Ashton Kutcher","Amy Smart","Melora Walters",451479,57938693,943,"7.5-8","F"
"944","28 Days Later...",2002,"A",113,"Drama",7.6,73,"Danny Boyle","Cillian Murphy","Naomie Harris","Christopher Eccleston","Alex Palmer",376853,45064915,944,"7.5-8","B+"
"945","Batoru rowaiaru",2000,"Not rated",114,"Action",7.6,81,"Kinji Fukasaku","Tatsuya Fujiwara","Aki Maeda","Tarô Yamamoto","Takeshi Kitano",169091,23530892,945,"7.5-8","B+"
"946","The Royal Tenenbaums",2001,"A",110,"Comedy",7.6,76,"Wes Anderson","Gene Hackman","Gwyneth Paltrow","Anjelica Huston","Ben Stiller",266842,52364010,946,"7.5-8","B+"
